nummer;datei;titel;slug;uebergeordnet;reihenfolge;teil
1;001 witze modjor-de.txt;Witze 1;1-witze;;1;Witze
2;002 witze modjor-de.txt;Witze 2;2-witze;;2;Witze
3;003 witze modjor-de.txt;Witze 3;3-witze;;3;Witze
4;004 witze modjor-de.txt;Witze 4;4-witze;;4;Witze
5;005 witze modjor-de.txt;Witze 5;5-witze;;5;Witze
6;006 witze modjor-de.txt;Witze 6;6-witze;;6;Witze
7;007 witze modjor-de.txt;Witze 7;7-witze;;7;Witze
8;008 witze modjor-de.txt;Witze 8;8-witze;;8;Witze
9;009 witze modjor-de.txt;Witze 9;9-witze;;9;Witze
10;010 witze modjor-de.txt;Witze 10;10-witze;;10;Witze
11;011 witze modjor-de.txt;Witze 11;11-witze;;11;Witze
12;012 witze modjor-de.txt;Witze 12;12-witze;;12;Witze
13;013 witze modjor-de.txt;Witze 13;13-witze;;13;Witze
14;014 witze modjor-de.txt;Witze 14;14-witze;;14;Witze
15;015 witze modjor-de.txt;Witze 15;15-witze;;15;Witze
16;016 witze modjor-de.txt;Witze 16;16-witze;;16;Witze
17;017 witze modjor-de.txt;Witze 17;17-witze;;17;Witze
18;018 witze modjor-de.txt;Witze 18;18-witze;;18;Witze
19;019 witze modjor-de.txt;Witze 19;19-witze;;19;Witze
20;020 witze modjor-de.txt;Witze 20;20-witze;;20;Witze
21;021 witze modjor-de.txt;Witze 21;21-witze;;21;Witze
22;022 witze modjor-de.txt;Witze 22;22-witze;;22;Witze
23;023 witze modjor-de.txt;Witze 23;23-witze;;23;Witze
24;024 witze modjor-de.txt;Witze 24;24-witze;;24;Witze
25;025 witze modjor-de.txt;Witze 25;25-witze;;25;Witze
26;026 witze modjor-de.txt;Witze 26;26-witze;;26;Witze
27;027 witze modjor-de.txt;Witze 27;27-witze;;27;Witze
28;028 witze modjor-de.txt;Witze 28;28-witze;;28;Witze
29;029 witze modjor-de.txt;Witze 29;29-witze;;29;Witze
30;030 witze modjor-de.txt;Witze 30;30-witze;;30;Witze
31;031 witze modjor-de.txt;Witze 31;31-witze;;31;Witze
32;032 witze modjor-de.txt;Witze 32;32-witze;;32;Witze
33;033 witze modjor-de.txt;Witze 33;33-witze;;33;Witze
34;034 witze modjor-de.txt;Witze 34;34-witze;;34;Witze
35;035 witze modjor-de.txt;Witze 35;35-witze;;35;Witze
36;036 witze modjor-de.txt;Witze 36;36-witze;;36;Witze
37;037 witze modjor-de.txt;Witze 37;37-witze;;37;Witze
38;038 witze modjor-de.txt;Witze 38;38-witze;;38;Witze
39;039 witze modjor-de.txt;Witze 39;39-witze;;39;Witze
40;040 witze modjor-de.txt;Witze 40;40-witze;;40;Witze
41;041 witze modjor-de.txt;Witze 41;41-witze;;41;Witze
42;042 witze modjor-de.txt;Witze 42;42-witze;;42;Witze
43;043 witze modjor-de.txt;Witze 43;43-witze;;43;Witze
44;044 witze modjor-de.txt;Witze 44;44-witze;;44;Witze
45;045 witze modjor-de.txt;Witze 45;45-witze;;45;Witze
46;046 witze modjor-de.txt;Witze 46;46-witze;;46;Witze
47;047 witze modjor-de.txt;Witze 47;47-witze;;47;Witze
48;048 witze modjor-de.txt;Witze 48;48-witze;;48;Witze
49;049 witze modjor-de.txt;Witze 49;49-witze;;49;Witze
50;050 witze modjor-de.txt;Witze 50;50-witze;;50;Witze
51;051 witze modjor-de.txt;Witze 51;51-witze;;51;Sprueche
52;052 witze modjor-de.txt;Witze 52;52-witze;;52;Sprueche
53;053 witze modjor-de.txt;Witze 53;53-witze;;53;Sprueche
54;054 witze modjor-de.txt;Witze 54;54-witze;;54;Sprueche
55;055 witze modjor-de.txt;Witze 55;55-witze;;55;Sprueche
56;056 witze modjor-de.txt;Witze 56;56-witze;;56;Sprueche
57;057 witze modjor-de.txt;Witze 57;57-witze;;57;Sprueche
58;058 witze modjor-de.txt;Witze 58;58-witze;;58;Sprueche
59;059 witze modjor-de.txt;Witze 59;59-witze;;59;Sprueche
60;060 witze modjor-de.txt;Witze 60;60-witze;;60;Sprueche
61;061 witze modjor-de.txt;Witze 61;61-witze;;61;Sprueche
62;062 witze modjor-de.txt;Witze 62;62-witze;;62;Sprueche
63;063 witze modjor-de.txt;Witze 63;63-witze;;63;Sprueche
64;064 witze modjor-de.txt;Witze 64;64-witze;;64;Sprueche
65;065 witze modjor-de.txt;Witze 65;65-witze;;65;Sprueche
66;066 witze modjor-de.txt;Witze 66;66-witze;;66;Sprueche
67;067 witze modjor-de.txt;Witze 67;67-witze;;67;Sprueche
68;068 witze modjor-de.txt;Witze 68;68-witze;;68;Sprueche
69;069 witze modjor-de.txt;Witze 69;69-witze;;69;Sprueche
70;070 witze modjor-de.txt;Witze 70;70-witze;;70;Sprueche
71;071 witze modjor-de.txt;Witze 71;71-witze;;71;Sprueche
72;072 witze modjor-de.txt;Witze 72;72-witze;;72;Sprueche
73;073 witze modjor-de.txt;Witze 73;73-witze;;73;Sprueche
74;074 witze modjor-de.txt;Witze 74;74-witze;;74;Sprueche
75;075 witze modjor-de.txt;Witze 75;75-witze;;75;Sprueche
76;076 witze modjor-de.txt;Witze 76;76-witze;;76;Sprueche
77;077 witze modjor-de.txt;Witze 77;77-witze;;77;Sprueche
78;078 witze modjor-de.txt;Witze 78;78-witze;;78;Sprueche
79;079 witze modjor-de.txt;Witze 79;79-witze;;79;Sprueche
80;080 witze modjor-de.txt;Witze 80;80-witze;;80;Sprueche
81;081 witze modjor-de.txt;Witze 81;81-witze;;81;Sprueche
82;082 witze modjor-de.txt;Witze 82;82-witze;;82;Sprueche
83;083 witze modjor-de.txt;Witze 83;83-witze;;83;Sprueche
84;084 witze modjor-de.txt;Witze 84;84-witze;;84;Sprichwoerter und mehr
85;085 witze modjor-de.txt;Witze 85;85-witze;;85;Sprichwoerter und mehr
